iter	Logloss
0	0.5972282112
1	0.504559913
2	0.4273200947
3	0.3375645153
4	0.2924827718
5	0.2349547192
6	0.1913369453
7	0.1606359625
8	0.1231541128
9	0.0971936729
10	0.07605725959
11	0.0604634038
12	0.04791330497
13	0.03972391365
14	0.03150048285
15	0.02464690757
16	0.02064196784
17	0.01700062436
18	0.01430396696
19	0.01205567598
20	0.01006620978
21	0.008738727571
22	0.007443532202
23	0.006344203023
24	0.005699912933
25	0.004974152571
26	0.004421487276
27	0.003942803594
28	0.00346092204
29	0.003081971912
30	0.002730282137
31	0.002470081996
32	0.002259180908
33	0.002030947453
34	0.001857814088
35	0.001689038108
36	0.001578171788
37	0.001464165333
38	0.001334441303
39	0.001252177772
40	0.001173081546
41	0.001112982456
42	0.001057735481
43	0.000980777758
44	0.0009342627668
45	0.0008711601067
46	0.0008379529969
47	0.0008067272871
48	0.0007849209244
49	0.0007498431663
50	0.000713110491
51	0.0006709063397
52	0.0006355971889
53	0.0006157324581
54	0.0005867384396
55	0.0005676948799
56	0.0005485506201
57	0.0005212687224
